Class Name;Current Object Name;Current Description;New Object Name;New Description
Partido Político;Nome Partido Político;Recupera as proposições conforme o partido político do autor.;Nome Partido Político;Recupera as proposições conforme o partido político do autor.
Partido Político;Sigla Partido Político;Retorna as proposições organizadas pelas siglas do partido político do autor da proposição;Sigla Partido Político;Retorna as proposições organizadas pelas siglas do partido político do autor da proposição
Partido Político;Cod Partido Político;;Cod Partido Político;
UF;Região;Retorna as proposições de acordo com a região (Centro-oeste, Nordeste, Norte, Sudeste, Sul) do autor;Região;Retorna as proposições de acordo com a região (Centro-oeste, Nordeste, Norte, Sudeste, Sul) do autor
UF;Sigla UF;Retornas as proposições de acordo com a sigla das regiões do autor: Por exemplo: DF, PI, SP, RJ;Sigla UF;Retornas as proposições de acordo com a sigla das regiões do autor: Por exemplo: DF, PI, SP, RJ
UF;Nome UF;Recupera as proposições conforme a unidade federativa de representação do autor. Por exemplo: Ceará, Rio Grande do Sul, Tocantins;Nome UF;Recupera as proposições conforme a unidade federativa de representação do autor. Por exemplo: Ceará, Rio Grande do Sul, Tocantins
UF;Ide Uf;;Ide Uf;
Data de Apresentação;Data Apresentação Completa;Data de apresentação da Proposição no formato dd/mm/aaaa.;Data Apresentação Completa;Data de apresentação da Proposição no formato dd/mm/aaaa.
Data de Apresentação;Ano;Retorna as proposições de acordo com o ano apresentação;Ano;Retorna as proposições de acordo com o ano apresentação
Data de Apresentação;Mes;Retorna as proposições de acordo com o mês de apresentação;Mes;Retorna as proposições de acordo com o mês de apresentação
Data de Apresentação;Dia;Retorna as proposições de acordo com o dia de apresentação ;Dia;Retorna as proposições de acordo com o dia de apresentação 
Data de Apresentação;Nome mes;Retona as proposições de acordo com o nome do mês de apresentação;Nome mes;Retona as proposições de acordo com o nome do mês de apresentação
